Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE,
1,2MTR 225,145.22500,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,12.5,,5.0W,,,,,,
2,GB3BH,430.98750,+,7.6,Tone,77,88.5,23,NN,23,Tone->Tone,FM,12.5,,5.0W,,,,,,
3,GB3ES,145.67500,-,0.6,Tone,103.5,88.5,23,NN,23,Tone->Tone,FM,12.5,,5.0W,,,,,,
4,GB3HE,430.92500,+,7.6,Tone,103.5,88.5,23,NN,23,Tone->Tone,FM,12.5,,5.0W,,,,,,
5,GB7RX,145.77500,-,0.6,Tone,103.5,88.5,23,NN,23,Tone->Tone,FM,12.5,,5.0W,,,,,,
6,GB3RY,430.95000,+,7.6,Tone,103.5,88.5,23,NN,23,Tone->Tone,FM,12.5,,5.0W,,,,,,
7,GB7ZE,433.05000,+,1.6,Tone,103.5,88.5,23,NN,23,Tone->Tone,FM,12.5,,5.0W,,,,,,
8,MB7IBX,144.90000,,0,Tone,103.5,88.5,23,NN,23,Tone->Tone,FM,12.5,,5.0W,,,,,,
11,SHOPWATCH,453.10000,off,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,12.5,,1.5W,,,,,,
12,C-GARD RPT,158.50000,off,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,12.5,,1.5W,,,,,,
13,C- GAURD,156.00000,off,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,5.0W,,,,,,
20,446CH01,446.00625,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,6.25,,5.0W,,,,,,
21,446CH02,446.01875,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,6.25,,5.0W,,,,,,
22,446CH03,446.03125,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,6.25,,5.0W,,,,,,
23,446CH04,446.04375,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,6.25,,5.0W,,,,,,
24,446CH05,446.05625,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,6.25,,5.0W,,,,,,
25,446CH06,446.06875,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,6.25,,5.0W,,,,,,
26,446CH07,446.08125,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,6.25,,5.0W,,,,,,
27,446CH08,446.09375,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,6.25,,5.0W,,,,,,
28,446CH09,446.10625,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,6.25,,5.0W,,,,,,
29,446CH10,446.11875,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,6.25,,5.0W,,,,,,
30,446CH11,446.13125,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,6.25,,5.0W,,,,,,
31,446CH12,446.14375,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,6.25,,5.0W,,,,,,
32,446CH13,446.15625,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,6.25,,5.0W,,,,,,
33,446CH14,446.16875,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,6.25,,5.0W,,,,,,
34,446CH15,446.18125,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,6.25,,5.0W,,,,,,
35,446CH16,446.19375,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,6.25,,5.0W,,,,,,
