Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
0,RB0,433,+,1.6,,88.5,88.5,23,NN,FM,25,,,,,
1,RB1,433.025,+,1.6,,88.5,88.5,23,NN,FM,25,,,,,
2,RB2,433.05,+,1.6,,88.5,88.5,23,NN,FM,25,,,,,
3,RB3,433.075,+,1.6,,88.5,88.5,23,NN,FM,25,,,,,
4,RB4,433.1,+,1.6,,88.5,88.5,23,NN,FM,25,,,,,
5,RB5,433.125,+,1.6,,88.5,88.5,23,NN,FM,25,,,,,
6,RB6,433.15,+,1.6,,88.5,88.5,23,NN,FM,25,,,,,
7,RB7,433.175,+,1.6,,88.5,88.5,23,NN,FM,25,,,,,
8,RB8,433.2,+,1.6,,88.5,88.5,23,NN,FM,25,,,,,
9,RB9,433.225,+,1.6,,88.5,88.5,23,NN,FM,25,,,,,
10,RB10,433.25,+,1.6,,88.5,88.5,23,NN,FM,25,,,,,
11,RB11,433.275,+,1.6,,88.5,88.5,23,NN,FM,25,,,,,
12,RB12,433.3,+,1.6,,88.5,88.5,23,NN,FM,25,,,,,
13,RB13,433.325,+,1.6,,88.5,88.5,23,NN,FM,25,,,,,
14,RB14,433.35,+,1.6,,88.5,88.5,23,NN,FM,25,,,,,
15,RB15,433.375,+,1.6,,88.5,88.5,23,NN,FM,25,,,,,
16,RU66,430.825,+,7.6,,88.5,88.5,23,NN,NFM,25,,,,,
17,RU67,430.8375,+,7.6,,88.5,88.5,23,NN,NFM,25,,,,,
18,RU68,430.85,+,7.6,,88.5,88.5,23,NN,NFM,25,,,,,
19,RU69,430.8625,+,7.6,,88.5,88.5,23,NN,NFM,25,,,,,
20,RU70,430.875,+,7.6,,88.5,88.5,23,NN,NFM,25,,,,,
21,RU71,430.8875,+,7.6,,88.5,88.5,23,NN,NFM,25,,,,,
22,RU72,430.9,+,7.6,,88.5,88.5,23,NN,NFM,25,,,,,
23,RU73,430.9125,+,7.6,,88.5,88.5,23,NN,NFM,25,,,,,
24,RU74,430.925,+,7.6,,88.5,88.5,23,NN,NFM,25,,,,,
25,RU75,430.9375,+,7.6,,88.5,88.5,23,NN,NFM,25,,,,,
26,RU76,430.95,+,7.6,,88.5,88.5,23,NN,NFM,25,,,,,
27,RU77,430.9625,+,7.6,,88.5,88.5,23,NN,NFM,25,,,,,
28,RU78,430.975,+,7.6,,88.5,88.5,23,NN,NFM,25,,,,,
